type	corpus	en_source	ko_reference	ko_target	annotation	accuracy	fluency	style	total
Training	GlobalVoices	I’m not Iraqi. 	저는 이라크인이 아니에요. 	저는 이라크 출신이 아닙니다.	"Accuracy: -
Fluency: -
Style: -"	0.0	0.0	0.0	0.0
Training	GlobalVoices	It is not like they were kicked out because of their race/nationality. 	"인종차별 차원에서 쫓아낸 것도 아닌데 쫓겨난 입장에서 자신들을 묶어서 ""한국인""이라 그러면 자기 얼굴이 침 뱉기지. "	그들의 인종/국적은 퇴학 사유가 아니었습니다.	"Accuracy: 퇴학(mistranslation/major)
Fluency: -
Style: -"	5.0	0.0	0.0	5.0
Training	GlobalVoices	According to the Tokyo Metropolitan Police Department, 1,750 cases of groping or molestation were reported in 2017. 	경찰청에 따르면, 2017년에는 1750건의 치한이 보고되었다. 	2017년에 도쿄 경시청은 1,750건의 성추행이나 추행 사건에 대한 보고를 받았습니다.	"Accuracy: -
Fluency: 성추행이나(unnaturalness/minor)
Style: 도쿄 경시청은 ...보고를 받았습니다.(structure/major)"	0.0	1.0	5.0	6.0
Training	GlobalVoices	On mobile live streaming service, Bambuser, Sherif Boraie shares a clip from the protest by the Syrian Embassy. 	누리꾼 밤부셔(Bambuser, 본명: 셔리프 보라이)는 모바일 스트리밍 서비스로 시리아 대사관의 시위 영상을 공유했다. 	Sherif Boraie는 라이브 스트리밍을 위한 모바일 플랫폼인 Bambuser에서 시리아 대사관 외부의 시위 비디오를 방송합니다.	"Accuracy: Sherif Boraie(untranslated text/major), Bambuser(untranslated text/major), 플랫폼인(mistranslation/minor), 외부의(mistranslation/major), 방송합니다.(mistranslation/major)
Fluency: Sherif Boraie(untranslated text/major), Bambuser(untranslated text/major), 시위 비디오를 방송합니다.(unnaturalness/minor)
Style: -"	26.0	18.0	0.0	44.0
Training	GlobalVoices	My expression glazed over. 	제 표정이 일순간 굳었습니다. 	얼굴이 멍해졌습니다.	"Accuracy: My(omission/major), 얼굴이(mistranslation/major)
Fluency: -
Style: -"	10.0	0.0	0.0	10.0
Training	GlobalVoices	ICT is a non-profit. 	하지만 ICT는 비영리기관이다. 	ICT는 비정부 조직으로 운영됩니다.	"Accuracy: -
Fluency: -
Style: 조직으로 운영됩니다.(structure/major)"	0.0	0.0	5.0	5.0
Training	GlobalVoices	Since late summer of this year, Catholic leadership in South Korea, spearheaded by the Catholic Priests' Association for Justice, has been vocal in condemning the government's systematic interference, regularly holding combinations of Catholic Mass and candlelight vigils in protest. 	올 여름 말부터, 가톨릭 정의구현 사제단을 선두로 가톨릭 지도자들은 가톨릭 미사와 촛불시위를 정기적으로 함께 열어 정부의 조직적 선거개입을 규탄해 왔다. 	올해 늦여름부터 천주교정의사제회를 필두로 한 한국 천주교 지도자들은 정부의 조직적 개입을 노골적으로 질타하며 천주교 미사와 촛불집회 등 합동행사를 자주 열어 반대 의사를 표명했다.	"Accuracy: -
Fluency: -
Style: -"	0.0	0.0	0.0	0.0
Training	GlobalVoices	Just when you think you’ve got the place figured out, BAM — SNOW! 	이제 이 곳을 어느 정도 파악했다 생각할 때 쯤, 펑, 눈이 내렸다. 	뜻밖에도 주변 상황을 파악했다고 생각하는 순간 갑작스러운 눈의 습격이 발생합니다.	"Accuracy: 주변 상황을(mistranslation/major), 갑작스러운 눈의 습격이 발생합니다.(mistranslation/minor)
Fluency: 갑작스러운 눈의 습격이 발생합니다.(unnaturalness/minor)
Style: 갑작스러운 눈의 습격이 발생합니다.(structure/major)"	14.0	4.0	5.0	23.0
Training	GlobalVoices	It soon went viral. 	비디오는 금새 퍼져나갔다. 	인터넷에서 빠르게 인기를 얻었습니다.	"Accuracy: It(omission/minor), 인터넷에서(addition/major)
Fluency: -
Style: -"	6.0	0.0	0.0	6.0
Training	GlobalVoices	Parents and students protested hard against several schools who have decided to adopt Kyohak's textbook and finally succeeded in revoking the decision. 	학부모들과 학생들은 교학사 교과서를 채택하기로 결정한 여러 학교들에 강력히 항의했고 마침내 결정을 철회시키는데 성공했다. 	학부모와 학생들의 큰 반발 끝에 처음에 교학 교과서를 시행할 계획이었던 많은 학교들이 그 결정을 철회하고 번복할 수밖에 없었습니다.	"Accuracy: 시행할(mistranslation/major), 많은(mistranslation/major)
Fluency: 처음에(unnaturalness/minor)
Style: 학부모와 학생들의 큰 반발 끝에(structure/major), 많은 학교들이 그 결정을 철회하고 번복할 수밖에 없었습니다.(structure/major)"	10.0	1.0	10.0	21.0
Training	GlobalVoices	We know that pickpockets and purse snatchers particularly target tourists. 	소매치기와 지갑털이범이 특정 여행자를 표적으로 삼는다는 점을 알고 있습니다. 	관광객들이 소매치기와 지갑을 훔치는 사람들의 주요 표적이라는 것은 잘 알려진 사실입니다.	"Accuracy: -
Fluency: -
Style: -"	0.0	0.0	0.0	0.0
Training	GlobalVoices	Its Chinese version, FTChinese, was launched 10 years ago and enjoys rather good circulation. 	파이낸셜타임스 중국판인 FT Chinese는 10년 전에 시판되었고, 탄탄한 독자층을 확보하고 있다. 	FTChinese는 현재 10년 동안 유통되어 왔으며 독자들 사이에서 꽤 인기가 있는 것으로 입증되었습니다.	"Accuracy: FTChinese(untranslated text/major), 현재 10년 동안 유통되어 왔으며(mistranslation/minor), 독자들 사이에서 꽤 인기가 있는 것으로 입증되었습니다.(mistranslation/minor)
Fluency: FTChinese(untranslated text/major)
Style: -"	17.0	5.0	0.0	22.0
Training	GlobalVoices	Iranian developers petition Apple to keep their apps online 	이란 개발자가 애플리케이션을 유지해달라고 애플에 청원하다. 	Apple은 이란의 개발자로부터 플랫폼에 애플리케이션을 유지해 달라는 호소를 받았습니다.	"Accuracy: Apple(untranslated text/major)
Fluency: Apple(untranslated text/major)
Style: Apple은...호소를 받았습니다.(structure/major)"	5.0	5.0	5.0	15.0
Training	GlobalVoices	What will you be doing on November 11, 2011? 	오는 11월 11일, 무엇을 할건가요? 	2011년 11월 11일 계획은 무엇입니까?	"Accuracy: -
Fluency: 계획은 무엇입니까?(unnaturalness/minor)
Style: -"	0.0	2.0	0.0	2.0
Training	GlobalVoices	Of course, the government given its bloody and war criminal record (under Hafidh and now under Bashshar), can easily be responsible for this massacre. 	물론 정부의 피비린내나는 전범 기록을 보면야 ( 하페즈 와 현재 바샤르 정권 아래의) 당연히 이 학살의 책임을 물을 수 있겠죠. 	확실히 정부는 잔인한 역사와 전쟁법 위반(하피드 통치 기간과 지금은 바샤르 치하)이 비극에 대한 책임을 질 수 있습니다.	"Accuracy: 위반이(mistranslation/major)
Fluency: 확실히 정부는 비극에 대한 책임을 질 수 있습니다.(unnaturalness/minor), 위반이(grammar/major)
Style: -"	5.0	13.0	0.0	18.0
Training	GlobalVoices	Joseph Dana posted pictures of the tear gas clouds: 	조셉 다나는 최루탄 가스의 사진을 올렸다: 	최루탄 구름 사진은 Joseph Dana가 공유했습니다.	"Accuracy: gas(omission/major), 사진은(mistranslation/major), Joseph Dana(untranslated text/major)
Fluency: Joseph Dana(untranslated text/major)
Style: -"	20.0	10.0	0.0	30.0
Training	GlobalVoices	We are not doing a good job of reciprocating the affection that Japanese visitors have for France. 	일본인 방문객이 프랑스에 보이는 애정에 보답할 만큼 프랑스는 일본인 방문객에게 잘 대해주고 있지 않다. 	프랑스에 대한 일본 관광객들의 동경에 감사하는 우리의 노력은 미흡하다.	"Accuracy: 동경에 감사하는(mistranslation/major)
Fluency: -
Style: -"	10.0	0.0	0.0	10.0
Training	GlobalVoices	‏@RuchiraSingh (Ruchira Singh): Women of age groups and from all walks of life are walking in. 	‏@RuchiraSingh (Ruchira Singh): 다양한 연령대와 직업,신분을 가진 여성들이 모여들고 있습니다. 	다양한 연령층과 다양한 배경을 가진 여성들이 들어오고 있습니다.	"Accuracy: RuchiraSingh (Ruchira Singh):(omission/major)
Fluency: -
Style: RuchiraSingh (Ruchira Singh):(structure/major)"	15.0	0.0	5.0	20.0
Training	GlobalVoices	Bahey El-Din wrote here about his own experience for what happened. 	바헤이 엘딘은 여기에 그 때 일어난 일에 대한 자신의 경험담을 진술했다. 	이 텍스트에서 Bahey El-Din은 상황과의 개인적인 만남을 이야기합니다.	"Accuracy: 텍스트에서(mistranslation/minor), 상황과의 개인적인 만남을(mistranslation/major), Bahey El-Din(untranslated text/major)
Fluency: 상황과의 개인적인 만남을(unnaturalness/minor), Bahey El-Din(untranslated text/major)
Style: -"	26.0	13.0	0.0	39.0
Training	GlobalVoices	Which is shameful, and an implication of the nastiness of much Middle Eastern politics. 	이건 분명히 부끄러운일이며 중동 지역 정치의 더러움과도 연관되어 있습니다. 	이것은 제대로 반영되지 않았으며 중동의 많은 정치적 상황의 불쾌한 특성을 강조합니다.	"Accuracy: 제대로 반영되지 않았으며(mistranslation/major), 정치적 상황의(mistranslation/minor), 불쾌한 특성을 강조합니다.(mistranslation/major)
Fluency: 많은 정치적 상황의 불쾌한 특성을 강조합니다.(unnaturalness/minor)
Style: -"	32.0	6.0	0.0	38.0
Training	GlobalVoices	‘I love Chinese culture, but not the Chinese Communist Party’ 	‘나는 중국문화를 사랑하지만, 중국공산당은 싫다. 	나는 중국 문화를 좋아하지만 중국 공산당에 대해서는 같은 정서를 공유하지 않습니다.	"Accuracy: 같은 정서를 공유하지 않습니다.(mistranslation/minor)
Fluency: -
Style: 중국 공산당에 대해서는 같은 정서를 공유하지 않습니다.(structure/major)"	4.0	0.0	5.0	9.0
Training	GlobalVoices	Try to limit your rhetorical activities. 	포럼에 극단적인 내용의 글을 올리지 마라. 	설득력 있는 언어 사용을 제한하도록 노력하십시오.	"Accuracy: 설득력 있는 언어 사용을(mistranslation/major)
Fluency: 설득력 있는 언어 사용을 제한하도록(unnaturalness/minor)
Style: -"	20.0	5.0	0.0	25.0
Training	GlobalVoices	At its peak, the sit-in has attracted tens of thousands of participants. 	연좌 농성이 절정에 이르렀을 때, 홍콩 시민 수천 명이 이 시위에 참가했다. 	최고조에 달했을 때 연좌 농성은 수만 명의 참여를 이끌어 냈습니다.	"Accuracy: -
Fluency: 최고조에 달했을 때 연좌 농성은(unnaturalness/minor)
Style: -"	0.0	5.0	0.0	5.0
Training	GlobalVoices	We should not forget that people in many other cities in Iran have become the victims of pollution too, such as the southern city Ahwaz . 	우리는 아흐와즈(Ahwaz) 같은 남쪽 도시를 비롯해, 이란의 많은 도시에 있는 사람들이 오염의 피해자가 되고 있음을 잊어선 안 될 것이다. 	오염은 남부 지역에 위치한 Ahwaz를 포함하여 이란의 수많은 다른 도시에도 영향을 미쳤음을 기억하는 것이 중요합니다.	"Accuracy: Ahwaz(untranslated text/major), 영향을 미쳤음을(mistranslation/minor)
Fluency: Ahwaz(untranslated text/major), 영향을 미쳤음을 기억하는 것이 중요합니다.(unnaturalness/minor)
Style: 이란의 수많은 다른 도시에도 영향을 미쳤음을(structure/major)"	15.0	10.0	5.0	30.0
Training	GlobalVoices	Cartoon drawn by DSX circulated on Weibo. 	그림 출처: DSX 	DSX 만화가 Weibo에서 공유되었습니다.	"Accuracy: Weibo(untranslated text/major), DSX(mistranslation/major)
Fluency: Weibo(untranslated text/major)
Style: -"	10.0	5.0	0.0	15.0
Training	GlobalVoices	"The editorial concluded that Park, along with Japanese President Shinzo Abe, are ""pushing to have high school history textbooks in their countries rewritten to reflect their political views."" "	"이 사설은 일본 총리 아베 신조와 박대통령이 ""자신들의 나라 고등학교 역사 교과서가 자신들의 정치관을 반영하도록 다시 쓰여지도록 압력을 가하고 있다""고 결론을 내렸다. "	사설에서는 박 대통령과 아베 신조(安倍晋三) 일본 대통령이 각자의 정치적 신념에 맞게 고교 역사교과서 개정을 주장하고 있다고 주장했다.	"Accuracy: 주장했다.(mistranslation/major)
Fluency: 주장하고 있다고 주장했다.(unnaturalness/minor)
Style: -"	5.0	3.0	0.0	8.0
Training	GlobalVoices	"In Rajasthan, the ban was issued so that girls would not be ""spoiled"" by excessive use of cellphones. "	"라자스탄 주에서 금지령을 발표한 이유는 과도한 핸드폰 사용이 소녀들을 ""망치지"" 않도록 하기 위해서였다. "	라자스탄에서 금지령을 내린 이유는 소녀들이 지나치게 빈번한 휴대폰 사용으로 타락하는 것을 방지하기 위해서였습니다.	"Accuracy: 이유는(addition/minor), 타락하는 것을(mistranslation/minor)
Fluency: 금지령을 내린(unnaturalness/minor), 타락하는 것을 방지하기 위해서였습니다(unnaturalness/minor)
Style: -"	3.0	6.0	0.0	9.0
Training	GlobalVoices	There's no doubt that it's the struggle of the Tunisian people that forced the regime to release you from detention in the late days of Ben Ali. 	튀니지 사람들의 계속적 시위가 정부로 하여금 벤 알리 정권의 말엽에 당신을 풀어나게 하였다는 점은 의심할 바가 없다. 	튀니지 국민의 노력으로 인해 정부는 벤 알리 통치의 마지막 단계에서 당신을 석방하지 않을 수 없었습니다.	"Accuracy: There's no doubt(omission/major)
Fluency: 벤 알리 통치의 마지막 단계에서 당신을 석방하지 않을 수 없었습니다.(unnaturalness/minor)
Style: -"	15.0	10.0	0.0	25.0
Training	GlobalVoices	This is ridiculous #tahrir 	이건 미친 짓이예요 #타히리르 	타흐리르의 상황은 터무니없다.	"Accuracy: 타흐리르의 상황은(mistranslation/major)
Fluency: 터무니없다(unnaturalness/minor)
Style: 타흐리르의 상황은(structure/major)"	10.0	1.0	5.0	16.0
Training	GlobalVoices	Black, herself a member of the indigenous Métis community, launched the REDress Project in 2010, collaborating with the University of Winnipeg’s Institute for Women’s and Gender Studies at the time to display about 100 red dresses indoors and outdoors around campus. 	그 자신도 선주민족 메티스 커뮤니티의 일원인 블랙은 2010년에 REDress 프로젝트를 기획하여 위니펙 대학의 '여성과 젠더 학회'와 협력, 약 100벌의 붉은 드레스를 캠퍼스 주변 가게에 전시했다. 	2010년 토착 Métis 커뮤니티의 일원인 Black은 REDress 프로젝트를 시작했습니다. 그녀는 위니펙 대학의 여성 및 젠더 연구 연구소와 협력하여 실내외 캠퍼스 주변에 약 100벌의 빨간 드레스를 전시했습니다.	"Accuracy: Métis, Black은 REDress(untranslated text/major)
Fluency: Métis, Black은 REDress(untranslated text/major), 토착 Métis 커뮤니티의(unnaturalness/minor)
Style: -"	15.0	18.0	0.0	33.0
Training	GlobalVoices	Mona seems to believe that once a person falls into the grasp of Wahhabi-Salafi theology, they can never escape, but in fact, Mona herself is the best evidence repudiating that view. 	모나 엘타하우이는 사람이 한 번 와하비-살라피 신학 마수에 빠지면 거기에서 절대 빠져 나오지 못할 것이라 믿고 있는 듯 하다. 	Mona는 개인이 Wahhabi-Salafi 교리의 가르침에 이끌리면 영원히 그것에 묶여 있다는 믿음을 가지고 있는 것 같습니다. 그러나 Mona 자신의 경험은 이러한 믿음과 모순되며 그녀를 가장 강력한 증거로 만듭니다.	"Accuracy: Mona, Wahhabi-Salafi, Mona(untranslated text/major), in fact,(omission/major), 이러한 믿음과 모순되며(mistranslation/major), 그녀를 가장 강력한 증거로 만듭니다.(mistranslation/minor)
Fluency: Mona, Wahhabi-Salafi, Mona(untranslated text/major), 개인이 이끌리면 영원히 그것에 묶여 있다는(unnaturalness/minor), 그녀를 가장 강력한 증거로 만듭니다.(unnaturalness/minor)
Style: 그녀를 가장 강력한 증거로 만듭니다.(structure/minor)"	45.0	26.0	5.0	76.0
Training	GlobalVoices	Now we know why no food stamps will ever be distributed in Singapore, and healthcare will never be free 	이제 우리는 왜 싱가포르에서 식권이 배급되지 않고 건강관리도 무료가 되지 않는지를 알 수 있을 것이다. 	싱가포르가 푸드 스탬프를 배포하지 않고 무료 의료 서비스를 제공하지 않는 이유가 명확해졌습니다.	"Accuracy: -
Fluency: -
Style: 싱가포르가...제공하지 않는 이유가 명확해졌습니다.(structure/major)"	0.0	0.0	5.0	5.0
Training	GlobalVoices	The data localization law came into force on September 1, 2015, mandating Internet companies and services should store Russian users' data on servers within Russia. 	모든 인터넷 회사가 러시아 사용자 데이터를 러시아 영토 안에 저장해야 한다는 규정을 골자로 한 데이터 현지화 법은 2015년 9월 1일부로 발효된 상태이다. 	2015년 9월 1일에 데이터 현지화에 관한 법률이 발효되어 인터넷 기업과 서비스는 러시아 영토 내에 위치한 서버에 러시아 사용자의 데이터를 보관해야 합니다.	"Accuracy: -
Fluency: 인터넷 기업과 서비스는(unnaturalness/minor)
Style: -"	0.0	3.0	0.0	3.0
Training	GlobalVoices	Yemeni women burnt their veils in protest to the regimes violence and crimes, especially the targeting of women... fb.me/AdNY5LTS 	예멘 여성들이 특히 여성들을 노린 정권의 폭력과 범죄에 항의하는 의미에서 베일을 태웠습니다. 	특히 여성에 대한 정부의 억압적 조치에 맞서 예멘 여성들은 항의의 표시로 베일을 불태웠습니다.	"Accuracy: 항의의 표시로(addition/major)
Fluency: -
Style: -"	10.0	0.0	0.0	10.0
Training	GlobalVoices	After Shiori's debut in the public spotlight, and as the #MeToo movement in the United States and other countries gained momentum, other women started making their voices heard on social media. 	시오리는 여론의 관심을 갖게 되었고, 이후 미국 및 다른 국가들의 #Me too 운동이 모멘텀을 얻게되자 다른 여성들 또한 소셜미디어에서 그들의 목소리를 내기 시작했다. 	Shiori가 처음 대중 앞에 모습을 드러내자마자 미국과 같은 여러 국가에서 #MeToo 캠페인이 꾸준히 성장하면서 다른 여성들이 소셜 미디어를 통해 자신의 경험을 목소리로 표현하기 시작했습니다.	"Accuracy: Shiori(untranslated text/major), 드러내자마자(mistranslation/major), 미국과 같은(mistranslation/major), 캠페인이(mistranslation/major)
Fluency: Shiori(untranslated text/major), 드러내자마자, 꾸준히 성장하면서, 목소리로 표현하기 시작했습니다.(unnaturalness/minor)
Style: -"	25.0	11.0	0.0	36.0
Training	GlobalVoices	It is not the problem of women, when (maybe only some) gentlemen get erected by looking at unveiled women. 	(아마도 오직 몇몇의) 남성들이 베일을 쓰지 않은 여성들을 보며 당선될 때 이것은 여성만의 문제가 아닙니다. 	베일을 쓰지 않은 여성을 바라보다가 발기가 되는 남성의 흥분은 여성의 책임이 아니다.	"Accuracy: 바라보다가(mistranslation/minor), 발기가 되는 남성의 흥분은(mistranslation/minor), 책임이(mistranslation/minor)
Fluency: 발기가 되는 남성의 흥분은(unnaturalness/minor)
Style: 발기가 되는 남성의 흥분은(structure/major)"	6.0	4.0	5.0	15.0
Training	GlobalVoices	Your talent is in research. 	당신의 재능은 연구하는 것이다. 	당신은 연구를 수행하는 데 뛰어난 능력을 가지고 있습니다.	"Accuracy: 수행하는(addition/minor)
Fluency: -
Style: -"	1.0	0.0	0.0	1.0
Training	GlobalVoices	The comments, by the deputy governor of Qassim province Faisal bin Mishal, follow the crackdown on a sit-in by women who called for the fall of the Saudi Interior Minster last Monday, in the Saudi Arabian city of Buraida. 	카심(Qassim)지역의 정부 보좌관 페이슬 빈 미샬(Faisal bin Mishal)의 이 발언은 지난 월요일 여성들의 연좌시위에 대응한 것으로 해석된다. 	지난 월요일 사우디아라비아 부라이다에서 여성들이 개최한 시위가 진압된 후 사우디 내무장관의 해임을 요구하는 파이살 빈 미샬 카심주의 부주지사는 자신의 발언을 공유했습니다.	"Accuracy: 여성들이 개최한 시위가 진압된 후 사우디 내무장관의 해임을 요구하는(mistranslation/major)
Fluency: 자신의 발언을 공유했습니다.(unnaturalness/minor)
Style: 파이살 빈 미샬 카심주의 부주지사는 자신의 발언을 공유했습니다.(structure/major)"	45.0	3.0	5.0	53.0
Training	GlobalVoices	Sina headline: Massive amounts of dead fish found in Tianjin Harbor, six kilometers away from the explosion site. These fish felt ashamed. 	신화뉴스 제목: 폭발 사고가 일어난 톈진 항에서 6km 떨어진 곳에서 물고기 떼죽음 이 물고기들은 부끄러웠다. 	시나(Sina) 헤드라인에 따르면 폭발 지점에서 6km 떨어진 톈진항(天津港) 해역에서 많은 수의 죽은 물고기가 발견됐다. 이 물고기들은 분명히 사건의 영향을 받았다는 점에 유의해야 합니다.	"Accuracy: 분명히 사건의 영향을 받았다는 점에 유의해야 합니다.(mistranslation/major), (Sina)(untranslated text/minor)
Fluency: 헤드라인에(unnaturalness/minor), 분명히 사건의 영향을 받았다는 점에 유의해야 합니다.(unnaturalness/minor), (Sina)(untranslated text/minor)
Style: 시나(Sina) 헤드라인에 따르면(structure/major)"	36.0	13.0	5.0	54.0
Training	GlobalVoices	It is located on the outskirts of the city of Lhasa and will occupy 800 hectares of land. 	이 공원은 라사(Lhasa)시 근교에 위치하고 있으며 면적은 800헥타르에 이른다. 	800헥타르의 땅에 걸쳐 있는 이곳은 라사 마을의 가장자리에 위치해 있습니다.	"Accuracy: -
Fluency: 800헥타르의 땅에 걸쳐 있는 이곳은(unnaturalness/minor)
Style: 800헥타르의 땅에 걸쳐 있는 이곳은(structure/major)"	0.0	5.0	5.0	10.0
Training	GlobalVoices	In this case, mass media have continued to function, at least for audiences outside of Egypt, but networked media have been severely curtailed. 	지금은 매스 미디어가 계속 작동은 하고 있지만(최소한 이집트 밖의 청중들을 위해서는), (소셜) 네트워킹 미디어는 심각하게 축소된 현실이다. 	이집트 밖에서는 매스 미디어가 이 경우에도 계속 운영되고 있는 반면 네트워크 미디어는 상당한 제한을 받았습니다.	"Accuracy: -
Fluency: 네트워크 미디어는(unnaturalness/minor)
Style: -"	0.0	2.0	0.0	2.0
Training	GlobalVoices	It is the country's responsibility to protect our children, in particular our girls. 	우리의 아이들, 특히 여자 아이들을 보호하는 것은 국가의 책임이다. 	우리 자녀, 특히 여성을 보호할 의무는 국가에 있습니다.	"Accuracy: 여성을(mistranslation/major)
Fluency: -
Style: 의무는 국가에 있습니다.(structure/major)"	5.0	0.0	5.0	10.0
Training	GlobalVoices	Class struggle always works. 	계층 갈등은 언제나 먹힌다. 	사회 계급 간의 갈등은 항상 효과적입니다.	"Accuracy: 효과적입니다.(mistranslation/minor)
Fluency: 효과적입니다.(unnaturalness/minor)
Style: -"	1.0	1.0	0.0	2.0
Training	GlobalVoices	Under the Lee Myung-bak administration, every voice that was critical of the government was labeled as pro-North. 	정권에 쓴소리를 하거나 대통령 사퇴를 주장하면 모두가 종북이다! 	이명박 정부에서는 정부에 반대하는 의견이 있으면 북한에 호의적인 것으로 분류했다.	"Accuracy: -
Fluency: 북한에 호의적인 것으로 분류했다.(unnaturalness/minor)
Style: -"	0.0	4.0	0.0	4.0
Training	GlobalVoices	On Oct 19, about 20 thousands attended a mass candlelight vigil in Seoul protesting the spy agency scandal. @Wjsfree gathered photos of this weekend's protests held across the country. 	10월 19일에 서울에서 국정원 요원들의 스캔들에 항의하는 대규모 촛불집회에 약 2만명이 참가했다. @wjsfree가 전국에서 개최된 이번 주말의 시위 사진들을 모아 정리했다. 	지난 10월 19일 서울에서 열린 국정원 비리에 항의하는 대규모 촛불집회에 2만여 명이 참가했다. @Wjsfree는 주말 동안 전국에서 발생한 다양한 시위의 사진을 편집했습니다.	"Accuracy: 비리에(mistranslation/major), 편집했습니다.(mistranslation/major)
Fluency: -
Style: 편집했습니다.(formality/major)"	10.0	0.0	5.0	15.0
Training	GlobalVoices	Why Are Japanese Airsoft Fans Cosplaying the Ukrainian Military? · Global Voices 	왜 우크라이나군 코스프레가 일본에서 인기일까? 	글로벌 보이스(Global Voices)는 우크라이나 군인 복장을 한 일본 에어소프트 애호가에 대해 보도했습니다.	"Accuracy: (Global Voices)(untranslated text/minor), 우크라이나 군인 복장을 한 일본 에어소프트 애호가에 대해(mistranslation/major)
Fluency: (Global Voices)(untranslated text/minor)
Style: 글로벌 보이스(Global Voices)는...보도했습니다.(structure/major), 우크라이나 군인 복장을 한 일본 에어소프트 애호가에 대해(structure/major)"	42.0	2.0	10.0	54.0
Training	GlobalVoices	Follow our in-depth coverage: Hong Kong's Umbrella Revolution 	홍콩 우산 혁명을 다룬 심층보도는 여기서 더 보실 수 있습니다. 	홍콩의 우산 혁명에 대한 광범위한 보도를 계속하십시오.	"Accuracy: Follow our(omission/major), in-depth(mistranslation/major), 계속하십시오.(mistranslation/major)
Fluency: 보도를 계속하십시오.(unnaturalness/minor)
Style: 홍콩의 우산 혁명에 대한 광범위한 보도를 계속하십시오.(structure/major)"	20.0	2.0	5.0	27.0
Training	GlobalVoices	But I didn't tell my parents. 	하지만 전 부모님에게 그 사실을 말하지 않았어요. 	그러나 나는 부모님께 알리는 것을 자제했다.	"Accuracy: 자제했다(mistranslation/minor)
Fluency: -
Style: 알리는 것을 자제했다.(formality/major)"	1.0	0.0	5.0	6.0
Training	GlobalVoices	Activists have created a Facebook event with information on the different marches, where they encourage citizens worldwide to stand with Syria against oppression: 	인권 운동가들은 페이스북 이벤트를 열어 각 다른 도시의 시위 정보를 제공하는 동시에 전 세계 시민들이 시리아 인들과 함께 정부의 시민 억압에 맞서기를 격려하고 있다: 	시리아 지지자들은 전 세계적으로 일어나고 있는 다양한 행진에 대한 세부 정보를 공유하는 페이스북 이벤트를 조직한 활동가들의 탄압에 맞서 일어서야 한다고 촉구했습니다.	"Accuracy: 시리아 지지자들은(mistranslation/major), 세부(addition/major), created(omission/major), 조직한 활동가들의(addition/major), 일어서야 한다고 촉구했습니다.(mistranslation/major)
Fluency: 다양한 행진에 대한 세부 정보를 공유하는 페이스북 이벤트를 조직한 활동가들의 탄압에 맞서 일어서야(unnaturalness/minor)
Style: 페이스북 이벤트를 조직한 활동가들의 탄압에 맞서 일어서야 한다고 촉구했습니다.(structure/major)"	45.0	13.0	5.0	63.0
Training	GlobalVoices	However, the ruling contains no calls to limit access to the Euronews video itself or the YouTube website as a whole. 	하지만 판결문에는 이 댓글이 달린 유로뉴스 비디오 자체를 차단하거나 유튜브 웹사이트 전체를 차단하는 내용이 포함되어 있지 않다. 	그럼에도 불구하고 이 판결에는 Euronews 영상의 가용성을 제한하거나 전체 YouTube 플랫폼에 대한 액세스를 방해하는 지시가 수반되지 않습니다.	"Accuracy: 그럼에도 불구하고(mistranslation/minor), 가용성을(mistranslation/minor), 방해하는(mistranslation/major), 수반되지(mistranslation/minor), Euronews(untranslated text/major), YouTube(untranslated text/major)
Fluency: 가용성을 제한하거나 액세스를 방해하는 지시가 수반되지 않습니다.(unnaturalness/minor), Euronews(untranslated text/major), YouTube(untranslated text/major)
Style: -"	19.0	17.0	0.0	36.0
Training	GlobalVoices	Today's videos focus on the artisans around the world still making shoes by hand. 	이 비디오는 아직도 손으로 신발을 만드는 세계 곳곳의 장인들에 대한 것이다. 	현재 동영상 콘텐츠는 전 세계적으로 계속해서 수작업으로 신발을 생산하는 숙련된 장인을 중심으로 합니다.	"Accuracy: 현재(mistranslation/major), 콘텐츠는(addition/minor), 중심으로(mistranslation/minor)
Fluency: 현재 동영상 콘텐츠는 중심으로 합니다.(unnaturalness/minor)
Style: -"	7.0	5.0	0.0	12.0
Training	GlobalVoices	Irena can write. 	이레나는 글을 쓸 수 있다. 	Irena는 글을 쓰는 능력을 가지고 있습니다.	"Accuracy: Irena(untranslated text/major)
Fluency: Irena(untranslated text/major), 글을 쓰는 능력을 가지고 있습니다.(unnaturalness/minor)
Style: -"	5.0	10.0	0.0	15.0
Training	GlobalVoices	The city of Aleppo, in particular, has been caught in the crossfire between the rebels and the regime's army. 	알레포 성채는 반군에 대한 공세 과정에서 정부군의 포격으로 파괴되었으며 유네스코 세계유산위원회(WHC)는 우려를 금치 못했다. 	특히 알레포시는 반군과 정부군 사이의 전투에 휘말려 있다.	"Accuracy: -
Fluency: 알레포시는(unnaturalness/minor)
Style: -"	0.0	1.0	0.0	1.0
Training	GlobalVoices	In less than one month, the local media have exposed more than eight cases of sexual abuse of school children. 	한 달내, 지역 언론사들은 여덟건이 넘는 초등학생 성추행 사건을 폭로했다. 	30일도 안 되는 기간 동안 8건 이상의 학교 아동 성 착취 사건이 지역 언론에 의해 밝혀졌습니다.	"Accuracy: -
Fluency: 학교 아동 성 착취 사건이(unnaturalness/minor)
Style: 지역 언론에 의해 밝혀졌습니다.(structure/major)"	0.0	5.0	5.0	10.0
